Process_ID,Name,X_Position_Material,Y_Position_Material,Node_Color_#,Color_Name,Rationale
0,Materials and Parts Production,0.05,0.50,#228B22,Forest Green,Input - left side
1,Manufacturing,0.25,0.50,#F5DEB3,Wheat Gold,Primary processing
2,Production_waste,0.25,0.30,#F5DEB3,Wheat Gold,By-product - lower
3,Use Phase DSM,0.50,0.50,#28A745,Bright Green,KEY STOCK - DSM - CENTER
4,Repair,0.65,0.50,#87CEEB,Sky Blue,Cascading - mid right
5,Decommissioning,0.65,0.40,#778899,Light Slate Gray,End-of-use - lower
6,Reuse,0.75,0.60,#87CEEB,Sky Blue,Cascading - upper
7,Remanufacturing,0.75,0.70,#4682B4,Steel Blue,Cascading - highest
8,Waste Treatment,0.90,0.40,#696969,Dim Gray,Output - far right
9,Spare parts production,0.10,0.75,#228B22,Forest Green,Supporting input - upper
10,Spare parts storage,0.45,0.75,#778899,Light Slate Gray,Supporting storage - upper
