ID,Parameter,Parameter_Selection,Parameter_Name,Distribution,Mean,StdDev,Min,Max,Mode
1,Transfer Coefficients (TCs),Standard TCs,TC_03_04,uniform,,,0.4,0.6,
2,Transfer Coefficients (TCs),Standard TCs,TC_03_05,uniform,,,0.3,0.5,
3,Transfer Coefficients (TCs),Standard TCs,TC_04_00,uniform,,,0.4,0.6,
4,Transfer Coefficients (TCs),Standard TCs,TC_04_01,uniform,,,0.4,0.6,
5,Transfer Coefficients (TCs),Standard TCs,TC_05_06,uniform,,,0.15,0.25,
6,DSM Parameters,DSM Lifetimes,dsm_6_lifetimes_Mean_0,normal,30,5,,,
7,DSM Parameters,DSM Lifetimes,dsm_6_lifetimes_Mean_1,normal,20,3,,,
8,DSM Parameters,DSM Lifetimes,dsm_6_lifetimes_Mean_2,normal,15,2,,,
9,DSM Parameters,DSM Lifetimes,dsm_6_lifetimes_Mean_3,normal,10,1,,,
10,FOMP Parameters,FOMP Decay Rates,fomp_10_k1,normal,0.025,0.005,,,
11,FOMP Parameters,FOMP Decay Rates,fomp_10_k2,normal,0.0351,0.005,,,
12,FOMP Parameters,FOMP Fractions,fomp_10_f,normal,0.236,0.05,,, 
